ticker,close_price,st73_value,DMA_200,DMA_10,datee
JSWSTEEL,1165.1,1077.3,1070.37,1099.98,20251231
IOC,166.24,155.4,142.58,162.37,20251231
BPCL,382.0,351.6,320.86,369.26,20251231
INDIANB,833.55,766.3,680.23,789.03,20251231
JINDALSTEL,1063.7,981.3,976.78,1005.33,20251231
HINDPETRO,492.4,448.9,411.7,472.88,20251231
DABUR,508.15,480.5,497.47,493.57,20251231
OIL,428.95,393.2,413.01,407.76,20251231
ZYDUSWELL,463.0,408.2,413.03,429.93,20251231
