ticker,close_price,st72_value,DMA_200,DMA_10,datee
HDFCBANK,1008.85,975.9,945.95,991.67,20251121
EICHERMOT,7125.5,6708.5,5793.37,6869.0,20251121
COROMANDEL,2264.4,2134.1,2189.85,2203.82,20251121
360ONE,1142.1,1069.5,1037.14,1086.17,20251121
RADICO,3368.0,3193.1,2656.57,3276.95,20251121
ERIS,1669.6,1541.1,1556.57,1584.91,20251121
AZAD,1740.3,1612.9,1562.89,1644.4,20251121
