ticker,close_price,st72_value,DMA_200
DLF,775.7,740.4,755.33
INDHOTEL,790.85,760.0,779.75
POWERINDIA,20180.0,18836.5,15551.03
MOTILALOFS,940.75,877.6,798.21
LINDEINDIA,6529.5,6237.5,6458.81
RADICO,2980.6,2778.6,2492.73
KPRMILL,1047.0,968.6,1022.94
PEL,1141.0,1044.7,1077.36
WELCORP,923.8,846.7,824.2
SARDAEN,626.15,564.9,478.99
CESC,166.39,155.9,160.77
PTCIL,14530.0,13477.2,13869.71
CUB,206.4,195.2,183.49
IFCI,56.21,51.9,54.09
RRKABEL,1260.4,1198.7,1232.95
