ticker,close_price,st72_value,DMA_200,DMA_10,datee
ADANIPORTS,1506.9,1436.1,1314.75,1455.42,20251113
ADANIENT,2484.5,2293.8,2411.55,2422.02,20251113
WIPRO,245.22,237.1,256.67,240.22,20251113
COALINDIA,386.5,374.3,369.12,378.91,20251113
JIOFIN,309.5,297.0,281.2,304.88,20251113
TECHM,1456.1,1388.9,1494.45,1415.86,20251113
SOLARINDS,14084.0,13233.2,13359.06,13741.6,20251113
HEROMOTOCO,5534.0,5268.1,4431.36,5414.9,20251113
MAZDOCK,2757.7,2637.9,2788.99,2708.59,20251113
NMDC,77.18,73.5,68.89,75.15,20251113
COFORGE,1827.7,1739.6,1666.01,1779.71,20251113
COCHINSHIP,1792.0,1687.5,1695.15,1762.65,20251113
POONAWALLA,489.3,445.2,408.44,472.76,20251113
APARINDS,8980.0,8193.2,7558.12,8561.45,20251113
TATAELXSI,5388.0,5135.3,5770.79,5349.1,20251113
TATATECH,696.1,669.4,699.93,688.61,20251113
KEC,797.7,730.8,810.82,790.63,20251113
CAMS,3964.0,3726.5,3803.78,3852.05,20251113
TRITURBINE,543.2,504.2,558.32,532.65,20251113
KIRLOSENG,1058.65,958.7,836.41,997.73,20251113
BELRISE,154.56,147.3,nan,149.25,20251113
AAVAS,1704.0,1564.8,1780.55,1644.21,20251113
