ticker,close_price,st72_value,DMA_200,datee
LICI,905.25,878.5,851.91,20251005
POWERGRID,289.7,275.1,288.72,20251005
TATASTEEL,173.21,165.1,148.77,20251005
PNB,114.37,109.0,100.43,20251005
UNITDSPR,1362.6,1298.1,1419.84,20251005
OFSS,8962.0,8272.1,8857.95,20251005
LLOYDSME,1312.3,1192.8,1324.32,20251005
BERGEPAINT,542.6,506.4,522.95,20251005
AIIL,3191.1,2947.8,2225.68,20251005
KALYANKJIL,492.15,446.7,536.59,20251005
HUDCO,233.79,222.0,215.52,20251005
LTTS,4289.7,4026.4,4501.23,20251005
TATATECH,707.05,663.8,721.18,20251005
BANDHANBNK,165.96,157.5,160.32,20251005
ZFCVINDIA,13569.0,12570.0,12573.61,20251005
EIHOTEL,393.25,360.0,374.64,20251005
JYOTICNC,920.85,828.1,1074.35,20251005
BASF,4687.5,4447.5,4760.17,20251005
GRINDWELL,1662.8,1537.7,1687.87,20251005
DATAPATTNS,2835.3,2514.7,2369.68,20251005
IFCI,58.15,52.8,53.55,20251005
ABDL,553.0,507.0,412.6,20251005
GESHIP,1054.15,966.8,937.87,20251005
GRANULES,557.3,518.3,509.97,20251005
JPPOWER,18.55,17.3,16.94,20251005
